sentiment,Retweets
1,
1,
1,
1,"RT @SoyNovioDeTodas: It's , and a racist, sexist, climate change denying bigot is leading in the polls. #ElectionNight"
1,
1,RT @thenation: Mike Pence doesn’t believe in global warming or that smoking causes lung cancer. 
1,"RT @makeandmendlife: Six big things we can ALL do today to fight climate change, or how to be a climate activistÃ¢â‚¬Â¦  hÃ¢â‚¬Â¦"
1,
1,RT @paigetweedy: no offense… but like… how do you just not believe… in global warming………
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change Ã¢â‚¬Â¦
1,
1,"RT @Alifaith: Oh. My. God.

Trump's Government removes climate change page from EPA website hours ahead of #climatemarch

…"
1,RT @GlblCtzn: 'I don't wanna live forever – and nothing will because climate change' ����️�� @taylorswift @zaynmalik 
1,"RT @jackholmes: Issues scrubbed from  today: Civil rights, climate change, LGBT, healthcare… "
1,"RT @patagonia: If our elected leaders fail to approach the environment &amp; climate change as serious issues worthy of urgency &amp; action, it wiÃ¢â‚¬Â¦"
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦
1,"RT @ccities:  C Mayors, representing M citizens have urged G leaders to #SaveOurPlanet from climate change. You can too…"
1,RT @World_Wildlife: How climate change impacts wildlife:  #COP #EarthToMarrakech 
1,
1,RT @TammyGrubb: Obama raises climate change. You better vote for candidates who believe in science. #ObamaUNC
1,
1,
1,RT @StarTalkRadio: First: The public understands climate change better than Congress. Why? #JohnHoldren @CoryBooker @neiltyson explain: htt…
1,"RT @Honey: A guide to global warming, Paris pact and the US role #DemForce #TheResistance #UniteBlue "
1,
1,
1,RT @BernieSanders: #ImVotingBecause the future of the planet is at stake. Hillary Clinton will combat climate change. Donald Trump thinks iÃ¢â‚¬Â¦
1,"RT @DeboraheHart: Toxic soils, aquifers, vast amts of wasted (+ waste) water, runaway climate change - what part of gas fracking don'…"
1,RT @BettyBowers: America: Where climate change is “unproven” to people % sure a guy called Noah fit all the world's animals on hi…
1,RT @ForAmerica: They protested in support of climate change at the #WomansMarch and then did their part to help the environment... https://…
1,RT @thedailybeast: Trump's climate change denial could cost us $ trillion  
1,
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change Ã¢â‚¬Â¦
1,
1,"RT @kelkulus: Irony: Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ¢â‚¬Â¦"
1,"RT @GreenpeaceEAsia: Pollution from India and China has reached the stratosphere, which could speed up global warming… "
1,RT @UNEP: The @citiesclimfin lays out how cities and subnational bodies can finance solutions to climate changeÃ¢â‚¬Â¦
1,
1,
1,RT @MotherJones: Here are the races to watch if you care about global warming  
1,"RT @kelkulus: Irony: Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ¢â‚¬Â¦"
1,"RT @ProfPCDoherty: Need economists to incorporate the reality of climate change in their thinking &amp; we all need to listen, …"
1,"RT @USHRN: As we fight for human rights, we're also facing the disastrous impacts of climate change. …"
