sentiment,Retweets
2,RT @RawStory: Researchers say we have three years to act on climate change before it’s too late  …
2,"RT @tveitdal: We only have a  percent chance of avoiding ‘dangerous’ global warming, a study finds  …"
2,
2,
2,RT @latimes: Atmospheric rivers fueled by climate change could decimate wild oysters in San Francisco Bay  …
2,RT @Independent: Trump's team removed climate change data from the White House website. They may be breaking the law…
2,
2,"RT @washingtonpost: The Alaskan tundra is filling the atmosphere with carbon dioxide, worsening climate change "
2,RT @TheTorontoSun: From @sunlorrie: Indian environmentalist calls out DiCaprio in his own documentary on climate change.Ã¢â‚¬Â¦
2,"RT @Starbuck: World food supplies at risk as #climate change threatens international trade, warn experts  …"
2,RT @FoxNews: Macron: My charm may have changed Trump's mind on climate change  
2,
2,RT @kylegriffin: NYT reviewed a draft climate change rpt by fed scientists directly contradicting the admin's global warming claims. https…
2,"RT @BBCBreaking: UK government signs Paris Agreement, world's first comprehensive treaty on tackling climate change Ã¢â‚¬Â¦"
2,
2,"RT @thinkprogress: Where are Rex Tillerson’s climate change emails?
"
2,
2,RT @GreenHarvard: “Universities have a uniquely important role to play in the battle against climate change” 
2,RT @PopSci: Ten of the ugliest animals threatened by climate change  
2,
2,RT @NYTNational: White House budget proposal on climate change: 'We’re not spending money on that anymore.' 
2,
2,
2,"RT @foxandfriends: New Catholic priests expected to preach global warming to congregations, report says | @foxnation… "
2,"RT @SasjaBeslik: Meet ChinaÃ¢â‚¬â„¢s 'ecological migrants': , people displaced by climate change Ã¢â‚¬Â¦"
2,
2,
2,"RT @SafetyPinDaily: US federal department is censoring use of term 'climate change', emails reveal | By @olliemilman …"
2,
2,RT @IndyUSA: Trump's budget director just said combating climate change is a 'waste of money’ 
2,
2,RT @thehill: Rahm Emanuel posts climate change webpage deleted by Trump administration  
2,RT @Energydesk: Historic coal fall may have profound impact on global efforts to tackle climate change  …
2,RT @LiterateLiberal: Leading global warming deniers just told us what they want trump to do  via @MotherJones
2,RT @pablorodas: #CLIMATEchange #p RT West Coast states to fight climate change even if Trump does not. …
2,"RT @EcoInternet: U.S. Secretary of State, Rex Tillerson signs Arctic agreement for action on #climate change: Antinuclear …"
2,
2,RT @telesurenglish: One of Jamaica’s iconic beaches is vanishing thanks to climate change. …
2,"RT @NZaegel: Effects of climate change may 'wreak havoc' on mental health, doctors say  via @upi"
2,"RT @thinkprogress: Brace yourself for a bitterly cold winter, as climate change shifts the polar vortex  Ã¢â‚¬Â¦"
2,RT @business: China tells Trump climate change isn't a hoax it invented  
2,"RT @climatekeith: Saskatchewan AG: Provincial govt has no plan, policies or target to address climate change  #skpol…"
2,RT @Energydesk: Exxon shareholders have moved to force the company to disclose the risk climate change poses to its business…
2,RT @nature_org: World leaders reaffirm their commitment to climate change and the #ParisAgreement.  Ã¢â‚¬Â¦
2,RT @EcoInternet: John Roughan: We will miss a sceptical voice on #climate change: New Zealand Herald  #environment
2,RT @HuffingtonPost: China to Trump: climate change is not a Chinese hoax  Ã¢Å¾Â¡Ã¯Â¸ï† @c_m_dangelo 
2,RT @businessinsider: Apple is borrowing $ billion to fight climate change  
2,RT @brady_dennis: CDC abruptly cancels long-planned conference on climate change and health: 
2,RT @PopSci: A river in Canada just turned to piracy because of global warming  
2,"RT @TheDailyClimate: Frogs heading uphill to escape #climate change. #India @timesofindia 
"
2,
2,RT @ClimateChangRR: US sends “much smaller” team to climate talks in Bonn | Climate Home - climate change news  http…
2,RT @WashTimes: Climate change whistleblower alleges NOAA manipulated data to hide global warming 'pause' - @washtimes @NOAA…
2,
2,"RT @guardianeco: Stopping global warming is only way to save Great Barrier Reef, scientists warn #GreatBarrierReef "
2,"RT @WSJ: In rebuke to Trump policy, GE CEO Immelt says ‘climate change is real’ "
2,RT @thehill: Arnold Schwarzenegger teams up with Macron to fight climate change:  
2,"RT @businessinsider: Trump may end US lead in climate change, and could 'make China great again' — via @guardian  ht…"
2,RT @WeNeedHillary: CBS Evening News: Donald Trump put 'a global warming skeptic in charge of protecting the environment'…
2,RT @DrBobBullard: Ã¢â‚¬ËœThereÃ¢â‚¬â„¢s no plan BÃ¢â‚¬â„¢: climate change scientists fear consequence of Trump victory - 
2,
2,RT @guardianeco: How Obama's climate change legacy is weakened by US investment in dirty fuel 
2,RT @sabrush: Trump's EPA head says he does not believe carbon dioxide is the primary contributor to global warming 
2,RT @pablorodas: #CLIMATEchange #p RT  Trump picks climate change sceptic Scott Pruitt to lead EPA  #COP …
2,"RT @GMA: Arctic undergoing rapid ice melt that could speed global warming, new study warns:  "
2,RT @vicenews: TrumpÃ¢â‚¬â„¢s rumored pick to lead the EPA wants everyone to Ã¢â‚¬Å“love global warmingÃ¢â‚¬ï†  
2,RT @ajplus: Top world leaders met at the G summit today. All countries affirmed they'd fight climate change – except one. Can…
2,"RT @washingtonpost: Thanks to global warming, Antarctica is starting to turn green  "
2,
2,
2,"RT @nytimes: As global warming cooks the U.S. in the decades ahead, not all states will suffer equally "
2,
2,
2,
2,
